,Nr camere,Suprafata utila,Suprafata utila totala,Suprafata construita,Compartimentare,Confort,Etaj,Nr. bucatarii,Nr. bai,An constructie,Structura rezistenta,Tip imobil,Regim inaltime,Nr. garaje,Nr. locuri parcare,Nr. balcoane,Pret
0,2,65,NaN,79,semidecomand,1,Etaj 1 / 6,1,1,2018,beton,bloc de apartamente,P+6E,NaN,1,1,39.900
1,3,113,NaN,146,decomand,1,Etaj 1 / 9,1,2,2012,beton,bloc de apartamente,P+9E,NaN,1,1,62.500
2,3,131,NaN,NaN,NaN,1,Parter / 5,1,1,2020 (finalizata),beton,bloc de apartamente,P+5E,NaN,1,NaN,81.000
3,2,65,65,65,decomand,1,Etaj 1 / 5,1,1,2019,beton,bloc de apartamente,P+5E,NaN,NaN,1 (închise),42.400
4,2,66,66,66,decomand,1,Etaj 1 / 4,1,1,2020 (finalizata),beton,bloc de apartamente,P+4E,NaN,NaN,1 (închise),35.700
5,1,52,52,68,decomand,lux,Etaj 10 / 10,1,1,2016,beton,bloc de apartamente,S+P+10E,NaN,NaN,1 (închise),43.500
6,3,85,NaN,95,decomand,lux,Etaj 3 / 6,1,2,2022 (in constructie),beton,bloc de apartamente,S+P+6E,NaN,NaN,1,378.500
7,2,47,NaN,53,decomand,lux,Etaj 2 / 4,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+4E,1,1,1,41.000
8,3,70,NaN,72,decomand,lux,Etaj 2 / 4,1,2,2021 (in constructie),beton,bloc de apartamente,P+4E,NaN,1,1,60.000
9,1,34,NaN,38,decomand,lux,Etaj 1 / 4,1,1,2021 (in constructie),beton,bloc de apartamente,P+4E,NaN,1,1,29.000
10,2,53,NaN,60,decomand,1,Etaj 1 / 7,NaN,1,2019,caramida,bloc de apartamente,D+P+7E,NaN,1,1,43.000
11,2,50,NaN,55,decomand,1,Etaj 2 / 5,NaN,1,2020 (finalizata),NaN,bloc de apartamente,D+P+5E,NaN,NaN,1,41.500
12,2,36,NaN,45,semidecomand,1,Etaj 2 / 5,NaN,1,2020 (finalizata),NaN,bloc de apartamente,D+P+5E,NaN,NaN,1,31.900
13,2,67,87,NaN,decomand,1,Etaj 2 / 4,1,1,2020 (finalizata),beton,bloc de apartamente,P+4E,NaN,1,2,35.800
14,2,41,41,49,decomand,NaN,Etaj 1 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+6E,NaN,NaN,1,35.500
15,6,334,NaN,401,decomand,lux,Etaj 10 / 12,NaN,4,2019,NaN,bloc de apartamente,S+P+12E,3,3,NaN,2.350.000 
